run,task,score,True_Positive,True_Negative,False_Positive,False_Negative
0,1,0.9265145427248999,496,1042,53,237
0,2,0.6809129539016224,361,919,181,345
0,3,0.647600407108745,314,839,221,409
0,4,0.62314717540524,300,845,240,415
0,5,0.6604920121532882,317,852,222,405
0,1,0.9265145427248999,730,546,549,3
0,2,0.6809129539016224,531,367,733,175
0,3,0.647600407108745,587,399,661,136
0,4,0.62314717540524,541,366,719,174
0,5,0.6604920121532882,571,388,686,151
