task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.49,0.0,0.0,0.0,0.0,0.0,69.49,69.49
0,2,69.25,0.0,0.0,0.0,0.0,0.0,69.25,69.25
0,3,73.94,0.0,0.0,0.0,0.0,0.0,73.94,73.94
0,4,77.89,0.0,0.0,0.0,0.0,0.0,77.89,77.89
1,0,46.55,74.47,0.0,0.0,0.0,0.0,60.51,74.47
1,1,41.33,78.25,0.0,0.0,0.0,0.0,59.79,78.25
1,2,34.53,83.0,0.0,0.0,0.0,0.0,58.76,83.0
1,3,34.53,82.38,0.0,0.0,0.0,0.0,58.46,82.38
1,4,32.35,82.24,0.0,0.0,0.0,0.0,57.3,82.24
2,0,48.62,48.2,44.0,0.0,0.0,0.0,46.94,44.0
2,1,42.15,41.36,60.09,0.0,0.0,0.0,47.87,60.09
2,2,44.21,42.9,66.43,0.0,0.0,0.0,51.18,66.43
2,3,43.76,44.99,69.93,0.0,0.0,0.0,52.89,69.93
2,4,45.64,41.6,72.07,0.0,0.0,0.0,53.1,72.07
3,0,48.85,49.44,35.92,33.76,0.0,0.0,41.99,33.76
3,1,48.07,38.39,33.54,59.77,0.0,0.0,44.94,59.77
3,2,48.39,39.93,34.3,64.73,0.0,0.0,46.84,64.73
3,3,45.29,44.3,33.31,70.59,0.0,0.0,48.37,70.59
3,4,46.1,42.46,32.59,72.95,0.0,0.0,48.53,72.95
4,0,37.21,40.63,38.87,45.5,49.37,0.0,42.32,49.37
4,1,33.8,42.68,39.4,41.52,65.7,0.0,44.62,65.7
4,2,34.74,41.77,38.16,41.23,70.89,0.0,45.36,70.89
4,3,31.57,46.05,36.79,41.62,75.64,0.0,46.33,75.64
4,4,34.06,41.55,37.57,39.92,82.84,0.0,47.19,82.84
5,0,37.24,38.99,33.03,35.82,50.51,37.35,38.82,37.35
5,1,36.21,39.07,32.61,33.8,45.38,50.19,39.54,50.19
5,2,36.02,38.57,33.04,33.79,47.86,57.47,41.12,57.47
5,3,39.25,39.56,30.69,32.02,45.74,64.87,42.02,64.87
5,4,38.87,39.59,30.8,33.12,45.01,68.59,42.66,68.59
