task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
72.58,0.0,0.0,0.0,0.0,0.0,0,0,72.58,72.58
73.68,0.0,0.0,0.0,0.0,0.0,0,1,73.68,73.68
72.2,0.0,0.0,0.0,0.0,0.0,0,2,72.2,72.2
72.97,0.0,0.0,0.0,0.0,0.0,0,3,72.97,72.97
72.08,0.0,0.0,0.0,0.0,0.0,0,4,72.08,72.08
50.51,78.78,0.0,0.0,0.0,0.0,1,0,64.64,78.78
35.28,88.37,0.0,0.0,0.0,0.0,1,1,61.82,88.37
35.54,88.63,0.0,0.0,0.0,0.0,1,2,62.08,88.63
36.03,87.49,0.0,0.0,0.0,0.0,1,3,61.76,87.49
36.58,87.92,0.0,0.0,0.0,0.0,1,4,62.25,87.92
47.95,54.29,56.24,0.0,0.0,0.0,2,0,52.83,56.24
43.12,46.31,70.65,0.0,0.0,0.0,2,1,53.36,70.65
40.1,48.86,74.37,0.0,0.0,0.0,2,2,54.44,74.37
39.24,48.68,74.91,0.0,0.0,0.0,2,3,54.28,74.91
39.55,48.98,75.03,0.0,0.0,0.0,2,4,54.52,75.03
41.48,50.91,34.24,66.63,0.0,0.0,3,0,48.32,66.63
40.14,48.64,29.31,73.1,0.0,0.0,3,1,47.8,73.1
36.21,47.41,29.14,77.47,0.0,0.0,3,2,47.56,77.47
36.61,45.46,30.21,77.69,0.0,0.0,3,3,47.49,77.69
37.19,45.19,30.59,78.64,0.0,0.0,3,4,47.9,78.64
44.12,48.08,38.83,41.48,76.74,0.0,4,0,49.85,76.74
35.01,49.0,36.81,38.34,84.22,0.0,4,1,48.68,84.22
35.97,45.93,36.74,38.38,86.92,0.0,4,2,48.79,86.92
35.52,45.61,35.78,38.76,86.56,0.0,4,3,48.45,86.56
35.48,45.67,36.62,38.11,87.46,0.0,4,4,48.67,87.46
42.65,42.43,34.96,31.17,44.21,63.12,5,0,43.09,63.12
42.53,35.84,31.17,26.28,42.42,72.19,5,1,41.74,72.19
42.57,36.75,29.71,27.53,41.38,74.21,5,2,42.02,74.21
41.89,35.25,29.43,27.32,41.92,75.06,5,3,41.81,75.06
42.48,35.79,29.05,27.35,42.25,73.61,5,4,41.76,73.61
