task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,67.17,0.0,0.0,0.0,0.0,0.0,67.17,67.17
0,1,76.63,0.0,0.0,0.0,0.0,0.0,76.63,76.63
0,2,79.88,0.0,0.0,0.0,0.0,0.0,79.88,79.88
0,3,87.28,0.0,0.0,0.0,0.0,0.0,87.28,87.28
0,4,87.58,0.0,0.0,0.0,0.0,0.0,87.58,87.58
1,0,72.38,64.98,0.0,0.0,0.0,0.0,68.68,64.98
1,1,56.07,84.28,0.0,0.0,0.0,0.0,70.18,84.28
1,2,57.06,85.02,0.0,0.0,0.0,0.0,71.04,85.02
1,3,55.75,91.49,0.0,0.0,0.0,0.0,73.62,91.49
1,4,55.72,92.64,0.0,0.0,0.0,0.0,74.18,92.64
2,0,60.46,60.1,50.91,0.0,0.0,0.0,57.16,50.91
2,1,50.23,48.45,77.36,0.0,0.0,0.0,58.68,77.36
2,2,50.67,49.63,79.98,0.0,0.0,0.0,60.09,79.98
2,3,51.74,50.78,82.23,0.0,0.0,0.0,61.58,82.23
2,4,50.95,51.94,83.43,0.0,0.0,0.0,62.11,83.43
3,0,53.69,53.94,50.01,48.48,0.0,0.0,51.53,48.48
3,1,48.18,50.14,41.94,71.95,0.0,0.0,53.05,71.95
3,2,48.56,51.29,42.53,78.41,0.0,0.0,55.2,78.41
3,3,46.78,49.36,44.77,79.92,0.0,0.0,55.21,79.92
3,4,48.71,51.13,41.56,81.74,0.0,0.0,55.78,81.74
4,0,43.09,51.72,46.09,52.09,64.43,0.0,51.48,64.43
4,1,36.97,50.06,44.75,46.8,80.36,0.0,51.79,80.36
4,2,36.53,52.64,44.77,46.25,87.61,0.0,53.56,87.61
4,3,36.87,52.33,47.33,45.76,88.42,0.0,54.14,88.42
4,4,37.65,52.95,48.47,45.85,88.94,0.0,54.77,88.94
5,0,42.87,47.0,42.59,40.85,56.08,44.51,45.65,44.51
5,1,41.51,44.64,40.71,35.06,49.13,67.19,46.37,67.19
5,2,43.1,44.29,39.72,38.47,48.0,78.49,48.68,78.49
5,3,42.24,40.2,39.63,35.41,48.88,78.97,47.56,78.97
5,4,42.21,43.47,41.03,38.87,49.35,80.57,49.25,80.57
