task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.49,0.0,0.0,0.0,0.0,0.0,69.49,69.49
0,2,69.25,0.0,0.0,0.0,0.0,0.0,69.25,69.25
0,3,73.94,0.0,0.0,0.0,0.0,0.0,73.94,73.94
0,4,77.89,0.0,0.0,0.0,0.0,0.0,77.89,77.89
1,0,46.55,74.47,0.0,0.0,0.0,0.0,60.51,74.47
1,1,36.96,79.79,0.0,0.0,0.0,0.0,58.38,79.79
1,2,32.31,81.62,0.0,0.0,0.0,0.0,56.96,81.62
1,3,32.92,80.77,0.0,0.0,0.0,0.0,56.84,80.77
1,4,32.93,81.98,0.0,0.0,0.0,0.0,57.46,81.98
2,0,49.7,49.8,46.13,0.0,0.0,0.0,48.54,46.13
2,1,42.43,46.35,57.63,0.0,0.0,0.0,48.8,57.63
2,2,42.85,45.85,60.6,0.0,0.0,0.0,49.77,60.6
2,3,47.04,47.85,61.89,0.0,0.0,0.0,52.26,61.89
2,4,46.6,42.55,64.57,0.0,0.0,0.0,51.24,64.57
3,0,48.12,48.48,35.45,34.38,0.0,0.0,41.61,34.38
3,1,42.29,43.99,29.98,53.38,0.0,0.0,42.41,53.38
3,2,40.21,44.75,29.4,57.34,0.0,0.0,42.92,57.34
3,3,44.32,42.45,31.89,62.05,0.0,0.0,45.18,62.05
3,4,45.6,43.54,32.27,65.6,0.0,0.0,46.75,65.6
4,0,38.26,40.9,40.87,39.38,43.51,0.0,40.58,43.51
4,1,36.62,44.18,38.33,40.8,57.75,0.0,43.54,57.75
4,2,38.67,44.08,36.79,42.92,61.96,0.0,44.88,61.96
4,3,36.84,46.01,35.09,41.29,70.77,0.0,46.0,70.77
4,4,34.82,43.81,38.29,41.25,74.56,0.0,46.55,74.56
5,0,36.98,44.54,35.33,37.62,43.27,38.28,39.34,38.28
5,1,40.49,40.68,32.37,37.93,43.8,47.02,40.38,47.02
5,2,39.78,37.78,33.91,38.21,45.06,50.81,40.93,50.81
5,3,39.28,39.11,33.69,37.21,44.43,52.66,41.06,52.66
5,4,39.27,39.5,32.95,37.42,43.11,54.52,41.13,54.52
