task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
70.52,0.0,0.0,0.0,0.0,0.0,0,1,70.52,70.52
68.26,0.0,0.0,0.0,0.0,0.0,0,2,68.26,68.26
67.68,0.0,0.0,0.0,0.0,0.0,0,3,67.68,67.68
66.14,0.0,0.0,0.0,0.0,0.0,0,4,66.14,66.14
41.95,73.88,0.0,0.0,0.0,0.0,1,0,57.92,73.88
35.85,81.33,0.0,0.0,0.0,0.0,1,1,58.59,81.33
34.38,84.18,0.0,0.0,0.0,0.0,1,2,59.28,84.18
35.42,84.3,0.0,0.0,0.0,0.0,1,3,59.86,84.3
37.65,84.13,0.0,0.0,0.0,0.0,1,4,60.89,84.13
49.99,50.65,58.22,0.0,0.0,0.0,2,0,52.95,58.22
44.81,48.35,68.13,0.0,0.0,0.0,2,1,53.76,68.13
47.09,43.69,74.68,0.0,0.0,0.0,2,2,55.15,74.68
47.61,44.58,74.69,0.0,0.0,0.0,2,3,55.63,74.69
47.11,45.17,74.67,0.0,0.0,0.0,2,4,55.65,74.67
48.82,52.73,32.38,59.07,0.0,0.0,3,0,48.25,59.07
44.95,44.34,28.5,72.14,0.0,0.0,3,1,47.48,72.14
44.32,41.3,29.48,74.72,0.0,0.0,3,2,47.46,74.72
44.74,40.95,30.54,74.72,0.0,0.0,3,3,47.74,74.72
46.37,41.23,29.44,75.58,0.0,0.0,3,4,48.16,75.58
36.82,42.99,37.22,33.21,68.78,0.0,4,0,43.8,68.78
35.58,41.69,36.21,37.95,78.57,0.0,4,1,46.0,78.57
34.84,43.29,36.63,39.71,80.65,0.0,4,2,47.02,80.65
35.45,42.14,36.8,39.01,85.04,0.0,4,3,47.69,85.04
35.34,41.58,37.34,37.82,86.42,0.0,4,4,47.7,86.42
41.95,39.52,30.97,36.35,45.68,54.98,5,0,41.58,54.98
43.28,43.47,29.66,31.1,45.95,64.57,5,1,43.0,64.57
43.2,41.29,28.77,29.21,44.83,68.77,5,2,42.68,68.77
42.44,39.75,29.35,33.65,44.02,69.48,5,3,43.12,69.48
40.9,40.17,31.72,31.73,42.6,70.59,5,4,42.95,70.59
