task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,68.94,0.0,0.0,0.0,0.0,0.0,68.94,68.94
0,2,69.96,0.0,0.0,0.0,0.0,0.0,69.96,69.96
0,3,77.45,0.0,0.0,0.0,0.0,0.0,77.45,77.45
0,4,78.65,0.0,0.0,0.0,0.0,0.0,78.65,78.65
1,0,44.8,75.42,0.0,0.0,0.0,0.0,60.11,75.42
1,1,40.76,79.99,0.0,0.0,0.0,0.0,60.38,79.99
1,2,39.59,82.59,0.0,0.0,0.0,0.0,61.09,82.59
1,3,41.04,82.42,0.0,0.0,0.0,0.0,61.73,82.42
1,4,44.86,87.96,0.0,0.0,0.0,0.0,66.41,87.96
2,0,53.31,55.77,43.49,0.0,0.0,0.0,50.86,43.49
2,1,51.24,50.77,58.58,0.0,0.0,0.0,53.53,58.58
2,2,48.08,49.95,68.02,0.0,0.0,0.0,55.35,68.02
2,3,51.03,48.32,74.55,0.0,0.0,0.0,57.97,74.55
2,4,50.8,52.11,76.57,0.0,0.0,0.0,59.83,76.57
3,0,51.73,50.38,39.82,42.17,0.0,0.0,46.03,42.17
3,1,50.47,50.43,37.37,58.07,0.0,0.0,49.08,58.07
3,2,51.28,50.91,35.29,63.73,0.0,0.0,50.3,63.73
3,3,49.46,47.9,33.42,67.9,0.0,0.0,49.67,67.9
3,4,47.68,48.72,32.57,72.3,0.0,0.0,50.32,72.3
4,0,43.1,42.02,38.09,35.33,50.24,0.0,41.76,50.24
4,1,38.39,42.61,38.15,39.87,64.52,0.0,44.71,64.52
4,2,32.74,44.72,38.34,39.74,75.1,0.0,46.13,75.1
4,3,33.94,45.09,36.85,39.95,77.57,0.0,46.68,77.57
4,4,33.04,44.53,35.28,39.07,83.9,0.0,47.16,83.9
5,0,36.62,38.04,31.1,36.63,51.37,39.59,38.89,39.59
5,1,37.31,37.86,30.53,32.65,45.04,52.09,39.25,52.09
5,2,36.51,38.3,32.52,32.97,43.95,60.74,40.83,60.74
5,3,37.03,39.3,29.8,34.07,43.71,63.1,41.17,63.1
5,4,36.55,38.87,32.06,34.52,44.76,70.84,42.93,70.84
