task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
68.19,0.0,0.0,0.0,0.0,0.0,0,1,68.19,68.19
66.91,0.0,0.0,0.0,0.0,0.0,0,2,66.91,66.91
64.91,0.0,0.0,0.0,0.0,0.0,0,3,64.91,64.91
64.96,0.0,0.0,0.0,0.0,0.0,0,4,64.96,64.96
35.98,71.67,0.0,0.0,0.0,0.0,1,0,53.82,71.67
34.08,79.43,0.0,0.0,0.0,0.0,1,1,56.76,79.43
38.12,82.67,0.0,0.0,0.0,0.0,1,2,60.4,82.67
37.41,85.0,0.0,0.0,0.0,0.0,1,3,61.2,85.0
39.68,85.08,0.0,0.0,0.0,0.0,1,4,62.38,85.08
42.38,54.05,55.4,0.0,0.0,0.0,2,0,50.61,55.4
40.46,47.12,61.6,0.0,0.0,0.0,2,1,49.73,61.6
42.13,49.09,62.48,0.0,0.0,0.0,2,2,51.23,62.48
41.97,49.64,67.47,0.0,0.0,0.0,2,3,53.03,67.47
41.35,46.35,68.01,0.0,0.0,0.0,2,4,51.9,68.01
46.64,48.96,35.27,58.7,0.0,0.0,3,0,47.39,58.7
44.29,49.31,32.97,60.07,0.0,0.0,3,1,46.66,60.07
42.14,49.19,29.66,66.56,0.0,0.0,3,2,46.89,66.56
39.88,43.96,29.1,69.31,0.0,0.0,3,3,45.56,69.31
41.18,41.6,31.0,70.41,0.0,0.0,3,4,46.05,70.41
35.31,46.81,38.4,39.15,66.79,0.0,4,0,45.29,66.79
30.81,48.81,37.56,39.42,68.08,0.0,4,1,44.94,68.08
34.65,49.53,39.51,42.65,69.18,0.0,4,2,47.1,69.18
32.99,49.27,40.13,41.92,72.81,0.0,4,3,47.42,72.81
34.7,49.17,38.72,42.99,72.66,0.0,4,4,47.65,72.66
36.7,34.27,35.12,31.6,43.32,54.46,5,0,39.24,54.46
34.85,35.36,34.34,32.61,42.52,55.5,5,1,39.2,55.5
34.3,35.8,33.41,32.54,42.53,57.22,5,2,39.3,57.22
37.24,37.06,32.19,32.4,42.55,55.63,5,3,39.51,55.63
36.18,38.88,31.38,32.83,40.1,58.62,5,4,39.66,58.62
