run,task,cycle,task_1,task_2,task_3,task_4,task_5
3,2,4,57.87,60.33,84.84,0.0,0.0
3,2,5,56.01,61.4,86.17,0.0,0.0
3,3,0,57.48,51.43,49.87,52.53,0.0
3,3,1,64.58,52.69,50.4,60.11,0.0
3,3,2,63.52,55.88,56.32,63.23,0.0
3,3,3,64.32,55.81,56.52,62.7,0.0
3,3,4,65.58,54.68,55.78,64.3,0.0
3,3,5,66.45,53.49,47.74,74.07,0.0
3,4,0,47.04,45.65,45.28,37.7,69.72
3,4,1,59.0,48.5,52.06,30.12,71.51
3,4,2,59.53,49.5,61.97,37.9,75.17
3,4,3,61.93,51.43,61.84,41.95,74.77
3,4,4,62.86,52.49,60.97,42.02,76.89
3,4,5,61.06,48.64,59.04,42.82,79.42
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.25,0.0,0.0,0.0,0.0
4,0,2,87.91,0.0,0.0,0.0,0.0
4,0,3,89.3,0.0,0.0,0.0,0.0
4,0,4,92.36,0.0,0.0,0.0,0.0
4,0,5,92.09,0.0,0.0,0.0,0.0
4,1,0,51.96,43.02,0.0,0.0,0.0
4,1,1,56.54,38.03,0.0,0.0,0.0
4,1,2,61.2,31.98,0.0,0.0,0.0
4,1,3,66.31,25.8,0.0,0.0,0.0
4,1,4,66.84,76.8,0.0,0.0,0.0
4,1,5,69.9,74.4,0.0,0.0,0.0
4,2,0,41.93,39.36,43.63,0.0,0.0
4,2,1,44.52,37.43,43.16,0.0,0.0
4,2,2,60.33,49.4,46.15,0.0,0.0
4,2,3,60.66,50.6,48.07,0.0,0.0
4,2,4,54.62,63.83,68.19,0.0,0.0
4,2,5,49.7,59.71,75.83,0.0,0.0
4,3,0,45.58,56.98,35.79,63.16,0.0
4,3,1,46.64,58.38,29.95,72.34,0.0
4,3,2,50.5,56.85,32.93,73.8,0.0
4,3,3,50.17,56.25,36.25,77.33,0.0
4,3,4,50.56,60.24,35.26,77.46,0.0
4,3,5,50.7,58.05,36.92,78.26,0.0
4,4,0,37.54,36.04,21.31,46.21,57.71
4,4,1,50.96,42.22,33.2,45.55,62.97
4,4,2,47.18,47.61,29.68,46.48,69.88
4,4,3,49.57,46.54,34.46,46.54,70.28
4,4,4,48.11,42.49,37.58,46.74,77.46
4,4,5,48.17,45.15,35.13,46.48,77.93
