run,task,cycle,task_1,task_2,task_3,task_4,task_5
4,1,1,58.42,48.77,0.0,0.0,0.0
4,1,2,58.42,48.31,0.0,0.0,0.0
4,1,3,58.51,47.91,0.0,0.0,0.0
4,1,4,58.24,47.64,0.0,0.0,0.0
4,2,0,38.83,33.29,38.07,0.0,0.0
4,2,1,39.45,34.68,38.34,0.0,0.0
4,2,2,40.69,35.68,37.54,0.0,0.0
4,2,3,41.4,36.68,36.88,0.0,0.0
4,2,4,42.2,37.67,36.08,0.0,0.0
4,3,0,36.52,41.2,21.26,37.28,0.0
4,3,1,36.52,41.93,21.26,36.94,0.0
4,3,2,36.88,42.59,20.53,36.48,0.0
4,3,3,36.44,43.19,20.6,36.01,0.0
4,3,4,36.26,43.59,20.4,35.42,0.0
4,4,0,38.65,39.73,15.95,31.63,27.39
4,4,1,38.65,39.67,15.88,31.5,27.79
4,4,2,40.25,44.92,13.49,30.96,33.24
4,4,3,40.25,44.78,13.42,30.9,32.71
4,4,4,40.16,44.72,13.55,30.56,32.71
