run,task,cycle,task_1,task_2,task_3,task_4,task_5
3,2,4,44.45,57.21,85.51,0.0,0.0
3,2,5,51.96,54.29,87.5,0.0,0.0
3,3,0,40.66,43.32,48.94,53.79,0.0
3,3,1,57.21,51.03,46.14,58.78,0.0
3,3,2,56.88,49.57,47.81,66.56,0.0
3,3,3,56.35,52.82,49.73,68.22,0.0
3,3,4,56.88,52.23,47.67,72.14,0.0
3,3,5,55.75,50.83,49.14,73.87,0.0
3,4,0,44.85,51.89,45.74,28.32,65.74
3,4,1,51.89,48.37,49.73,32.18,70.12
3,4,2,56.61,52.09,49.87,32.98,73.84
3,4,3,51.83,53.16,51.8,35.97,79.28
3,4,4,54.22,54.55,47.34,41.02,83.0
3,4,5,53.02,58.14,54.72,41.02,83.2
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.98,0.0,0.0,0.0,0.0
4,0,2,86.71,0.0,0.0,0.0,0.0
4,0,3,89.24,0.0,0.0,0.0,0.0
4,0,4,90.83,0.0,0.0,0.0,0.0
4,0,5,91.1,0.0,0.0,0.0,0.0
4,1,0,61.0,42.82,0.0,0.0,0.0
4,1,1,64.65,37.37,0.0,0.0,0.0
4,1,2,68.11,31.18,0.0,0.0,0.0
4,1,3,70.03,69.88,0.0,0.0,0.0
4,1,4,69.3,73.87,0.0,0.0,0.0
4,1,5,70.37,73.34,0.0,0.0,0.0
4,2,0,43.12,26.93,59.3,0.0,0.0
4,2,1,48.64,26.8,59.03,0.0,0.0
4,2,2,49.7,28.19,64.61,0.0,0.0
4,2,3,53.89,32.38,69.39,0.0,0.0
4,2,4,53.69,32.51,69.26,0.0,0.0
4,2,5,52.56,37.63,72.05,0.0,0.0
4,3,0,51.16,41.36,21.91,60.77,0.0
4,3,1,44.78,39.63,30.88,68.22,0.0
4,3,2,48.24,40.43,28.42,70.28,0.0
4,3,3,53.22,41.89,28.55,70.61,0.0
4,3,4,53.16,41.95,28.69,71.14,0.0
4,3,5,51.56,44.61,30.08,73.47,0.0
4,4,0,46.11,25.27,30.15,35.97,46.14
4,4,1,57.74,32.85,28.42,33.91,42.75
4,4,2,57.28,31.78,38.58,45.28,50.93
4,4,3,57.21,31.78,38.78,45.68,51.0
4,4,4,50.1,42.42,36.25,48.01,64.69
4,4,5,51.1,41.09,40.44,49.87,68.15
