run,task,cycle,task_1,task_2,task_3,task_4,task_5
4,1,1,62.13,48.2,0.0,0.0,0.0
4,1,2,61.46,47.94,0.0,0.0,0.0
4,1,3,60.35,47.81,0.0,0.0,0.0
4,1,4,59.91,47.67,0.0,0.0,0.0
4,2,0,43.08,36.04,37.74,0.0,0.0
4,2,1,45.4,36.97,35.88,0.0,0.0
4,2,2,45.85,37.77,34.49,0.0,0.0
4,2,3,46.73,38.5,32.36,0.0,0.0
4,2,4,47.73,39.23,31.5,0.0,0.0
4,3,0,42.19,38.1,25.65,27.18,0.0
4,3,1,42.08,38.56,24.92,26.71,0.0
4,3,2,41.97,38.7,24.25,25.98,0.0
4,3,3,42.3,38.9,23.65,25.32,0.0
4,3,4,42.08,39.23,23.06,24.72,0.0
4,4,0,39.09,29.45,14.22,28.37,43.75
4,4,1,39.53,29.92,14.22,28.44,43.55
4,4,2,39.98,30.39,14.22,28.57,43.22
4,4,3,40.2,30.78,14.29,28.84,43.22
4,4,4,40.97,30.98,14.29,28.77,43.22
