run,task,cycle,task_1,task_2,task_3
0,0,0,92.82,0.0,0.0
0,1,0,51.85,100.0,0.0
0,2,0,76.77,96.42,83.68
1,0,0,99.79,0.0,0.0
1,1,0,93.9,99.81,0.0
1,2,0,89.04,70.16,96.93
2,0,0,99.58,0.0,0.0
2,1,0,95.27,93.07,0.0
2,2,0,42.44,94.21,97.57
3,0,0,100.0,0.0,0.0
3,1,0,99.81,97.05,0.0
3,2,0,66.6,94.54,95.43
4,0,0,98.14,0.0,0.0
4,1,0,95.76,99.12,0.0
4,2,0,73.42,66.73,98.74
