run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,72.62,83.64,0.0
0,1,2,30.98,93.9,0.0
0,2,0,28.06,99.71,82.11
0,2,1,30.64,99.61,82.21
0,2,2,32.21,99.52,81.72
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,48.81,0.0,0.0
1,1,0,71.15,97.38,0.0
1,1,1,71.04,99.91,0.0
1,1,2,53.77,100.0,0.0
1,2,0,48.29,83.16,76.62
1,2,1,32.57,82.6,92.54
1,2,2,34.02,77.55,95.72
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,82.56,77.15,0.0
2,1,1,86.24,73.32,0.0
2,1,2,88.03,67.01,0.0
2,2,0,38.34,71.46,90.47
2,2,1,10.19,53.88,91.83
2,2,2,37.71,74.35,93.29
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.25,62.45,0.0
3,1,1,88.59,85.92,0.0
3,1,2,88.12,85.48,0.0
3,2,0,82.41,60.48,78.27
3,2,1,84.1,71.51,77.44
3,2,2,85.69,71.51,77.03
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,80.46,99.9,0.0
4,1,1,67.74,99.32,0.0
4,1,2,51.29,100.0,0.0
4,2,0,9.82,64.01,94.75
4,2,1,19.44,65.37,94.01
4,2,2,22.23,67.22,93.28
