run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,91.13,0.0,0.0
0,1,0,77.44,99.13,0.0
0,1,1,79.57,99.03,0.0
0,2,0,94.95,93.03,82.01
0,2,1,91.02,97.19,85.34
1,0,0,99.07,0.0,0.0
1,0,1,99.17,0.0,0.0
1,1,0,97.62,99.81,0.0
1,1,1,97.72,99.72,0.0
1,2,0,83.04,64.64,89.9
1,2,1,82.73,67.26,89.9
2,0,0,99.47,0.0,0.0
2,0,1,99.68,0.0,0.0
2,1,0,67.86,92.35,0.0
2,1,1,94.01,92.97,0.0
2,2,0,66.6,91.93,94.84
2,2,1,38.34,94.21,98.44
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,1,0,99.63,97.49,0.0
3,1,1,100.0,96.83,0.0
3,2,0,73.71,93.67,90.64
3,2,1,66.42,95.63,93.24
4,0,0,98.14,0.0,0.0
4,0,1,95.55,0.0,0.0
4,1,0,98.45,97.57,0.0
4,1,1,98.55,97.37,0.0
4,2,0,38.57,79.09,95.9
4,2,1,87.49,76.07,97.48
