run,task,cycle,task_1,task_2,task_3
0,0,0,50.28,0.0,0.0
0,0,1,84.4,0.0,0.0
0,0,2,85.3,0.0,0.0
0,1,0,75.2,81.22,0.0
0,1,1,32.44,98.06,0.0
0,1,2,28.17,98.94,0.0
0,2,0,25.36,86.74,82.6
0,2,1,34.79,98.74,81.92
0,2,2,43.55,99.52,82.8
1,0,0,37.75,0.0,0.0
1,0,1,59.77,0.0,0.0
1,0,2,94.0,0.0,0.0
1,1,0,93.07,99.81,0.0
1,1,1,56.57,100.0,0.0
1,1,2,83.66,100.0,0.0
1,2,0,0.62,50.42,96.82
1,2,1,0.72,57.06,95.94
1,2,2,17.58,61.18,96.49
2,0,0,99.16,0.0,0.0
2,0,1,99.47,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,78.57,73.84,0.0
2,1,1,78.05,85.52,0.0
2,1,2,76.16,89.45,0.0
2,2,0,54.31,73.01,94.94
2,2,1,42.75,56.77,94.84
2,2,2,34.24,56.15,94.65
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,90.93,81.44,0.0
3,1,1,94.01,81.11,0.0
3,1,2,92.52,89.63,0.0
3,2,0,61.37,61.57,74.43
3,2,1,65.11,0.22,98.54
3,2,2,68.66,0.22,97.51
4,0,0,81.18,0.0,0.0
4,0,1,87.18,0.0,0.0
4,0,2,96.9,0.0,0.0
4,1,0,90.8,97.28,0.0
4,1,1,65.05,99.32,0.0
4,1,2,77.35,99.9,0.0
4,2,0,9.41,52.24,99.37
4,2,1,17.68,52.24,98.0
4,2,2,41.99,62.45,96.95
