task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,85.12,0.0,0.0,85.12,85.12
1,0,79.76,78.05,0.0,78.9,78.05
1,1,72.2,88.06,0.0,80.13,88.06
1,2,69.18,90.97,0.0,80.08,90.97
2,0,35.54,57.01,89.73,60.76,89.73
2,1,37.6,56.35,88.1,60.68,88.1
2,2,43.66,50.25,89.4,61.1,89.4
