task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,94.77,0.0,0.0,94.77,94.77
1,0,39.12,66.29,0.0,52.7,66.29
1,1,60.93,92.61,0.0,76.77,92.61
1,2,56.54,96.79,0.0,76.67,96.79
2,0,51.19,73.82,62.67,62.56,62.67
2,1,58.49,70.27,85.83,71.53,85.83
2,2,54.07,70.89,91.52,72.16,91.52
