task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,94.77,0.0,0.0,94.77,94.77
1,0,83.11,77.57,0.0,80.34,77.57
1,1,72.79,88.42,0.0,80.6,88.42
1,2,66.33,91.38,0.0,78.85,91.38
2,0,34.18,53.33,87.11,58.21,87.11
2,1,28.99,46.94,91.51,55.81,91.51
2,2,33.12,46.73,92.54,57.46,92.54
