task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,82.98,0.0,0.0,82.98,82.98
0,2,95.0,0.0,0.0,95.0,95.0
1,0,78.15,79.53,0.0,78.84,79.53
1,1,78.05,87.62,0.0,82.84,87.62
1,2,74.09,94.55,0.0,84.32,94.55
2,0,42.47,62.47,87.89,64.28,87.89
2,1,42.28,53.17,90.22,61.89,90.22
2,2,41.27,55.79,91.96,63.01,91.96
