task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,54.32,0.0,0.0,54.32,54.32
0,1,65.99,0.0,0.0,65.99,65.99
0,2,84.96,0.0,0.0,84.96,84.96
1,0,75.87,69.7,0.0,72.78,69.7
1,1,15.94,97.68,0.0,56.81,97.68
1,2,23.57,97.58,0.0,60.58,97.58
2,0,37.82,98.16,77.81,71.26,77.81
2,1,40.18,97.97,80.35,72.83,80.35
2,2,36.81,97.19,77.61,70.54,77.61
