task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,85.12,0.0,0.0,85.12,85.12
1,0,38.64,66.9,0.0,52.77,66.9
1,1,46.73,86.38,0.0,66.55,86.38
1,2,48.46,93.27,0.0,70.86,93.27
2,0,56.1,71.97,62.62,63.56,62.62
2,1,49.87,76.08,80.45,68.8,80.45
2,2,57.72,67.67,89.1,71.5,89.1
