task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,94.77,0.0,0.0,94.77,94.77
1,0,39.12,66.26,0.0,52.69,66.26
1,1,60.52,90.46,0.0,75.49,90.46
1,2,57.35,95.38,0.0,76.36,95.38
2,0,60.25,80.25,61.02,67.17,61.02
2,1,44.5,81.08,83.39,69.66,83.39
2,2,53.2,72.4,85.02,70.21,85.02
