task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,54.32,0.0,0.0,54.32,54.32
0,1,65.99,0.0,0.0,65.99,65.99
0,2,84.96,0.0,0.0,84.96,84.96
1,0,75.87,69.7,0.0,72.78,69.7
1,1,17.96,96.9,0.0,57.43,96.9
1,2,6.51,99.42,0.0,52.96,99.42
2,0,35.24,98.06,69.7,67.67,69.7
2,1,29.63,98.94,77.91,68.83,77.91
2,2,28.96,98.16,78.98,68.7,78.98
