task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,82.98,0.0,0.0,82.98,82.98
0,2,95.0,0.0,0.0,95.0,95.0
1,0,48.42,67.73,0.0,58.08,67.73
1,1,74.61,87.23,0.0,80.92,87.23
1,2,73.41,90.57,0.0,81.99,90.57
2,0,62.45,62.74,69.28,64.82,69.28
2,1,51.12,62.42,88.45,67.33,88.45
2,2,56.18,64.75,89.75,70.23,89.75
