task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,94.77,0.0,0.0,94.77,94.77
1,0,83.11,77.57,0.0,80.34,77.57
1,1,72.43,87.67,0.0,80.05,87.67
1,2,54.56,92.95,0.0,73.76,92.95
2,0,34.09,60.82,87.92,60.94,87.92
2,1,34.65,60.44,91.45,62.18,91.45
2,2,39.44,57.38,90.88,62.57,90.88
