task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.77,0.0,0.0,0.0,0.0,75.77,75.77
0,2,77.41,0.0,0.0,0.0,0.0,77.41,77.41
0,3,79.53,0.0,0.0,0.0,0.0,79.53,79.53
0,4,80.04,0.0,0.0,0.0,0.0,80.04,80.04
0,5,80.83,0.0,0.0,0.0,0.0,80.83,80.83
1,0,51.77,49.17,0.0,0.0,0.0,50.47,49.17
1,1,55.17,48.21,0.0,0.0,0.0,51.69,48.21
1,2,59.37,45.7,0.0,0.0,0.0,52.54,45.7
1,3,59.92,42.63,0.0,0.0,0.0,51.28,42.63
1,4,61.11,40.71,0.0,0.0,0.0,50.91,40.71
1,5,62.07,38.95,0.0,0.0,0.0,50.51,38.95
2,0,53.47,13.77,50.82,0.0,0.0,39.35,50.82
2,1,54.93,11.64,49.63,0.0,0.0,38.73,49.63
2,2,56.8,13.5,47.59,0.0,0.0,39.3,47.59
2,3,57.81,12.78,45.32,0.0,0.0,38.64,45.32
2,4,57.59,23.96,48.95,0.0,0.0,43.5,48.95
2,5,56.63,24.77,50.57,0.0,0.0,43.99,50.57
3,0,44.55,30.95,24.28,47.09,0.0,36.72,47.09
3,1,46.97,32.75,24.49,45.59,0.0,37.45,45.59
3,2,50.95,35.05,23.65,46.63,0.0,39.07,46.63
3,3,52.26,35.4,23.46,45.41,0.0,39.13,45.41
3,4,51.97,35.39,25.36,46.64,0.0,39.84,46.64
3,5,50.39,36.42,27.23,56.44,0.0,42.62,56.44
4,0,39.68,25.04,27.19,21.34,59.57,34.56,59.57
4,1,44.94,28.3,30.9,21.29,62.36,37.56,62.36
4,2,46.36,29.85,32.55,20.98,61.8,38.31,61.8
4,3,44.97,31.29,33.06,23.37,62.21,38.98,62.21
4,4,44.52,35.45,38.89,28.08,66.84,42.76,66.84
4,5,44.37,34.0,38.57,29.91,67.32,42.83,67.32
