task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
74.77,0.0,0.0,0.0,0.0,0,1,74.77,74.77
75.24,0.0,0.0,0.0,0.0,0,2,75.24,75.24
74.96,0.0,0.0,0.0,0.0,0,3,74.96,74.96
73.63,0.0,0.0,0.0,0.0,0,4,73.63,73.63
72.39,0.0,0.0,0.0,0.0,0,5,72.39,72.39
54.37,63.27,0.0,0.0,0.0,1,0,58.82,63.27
55.23,63.88,0.0,0.0,0.0,1,1,59.56,63.88
52.65,63.86,0.0,0.0,0.0,1,2,58.26,63.86
54.54,63.61,0.0,0.0,0.0,1,3,59.08,63.61
55.98,63.48,0.0,0.0,0.0,1,4,59.73,63.48
55.98,63.18,0.0,0.0,0.0,1,5,59.58,63.18
53.64,44.92,41.8,0.0,0.0,2,0,46.79,41.8
53.55,43.68,43.01,0.0,0.0,2,1,46.75,43.01
53.43,44.69,43.02,0.0,0.0,2,2,47.05,43.02
53.06,44.16,42.67,0.0,0.0,2,3,46.63,42.67
52.1,44.0,42.27,0.0,0.0,2,4,46.12,42.27
52.47,43.83,43.03,0.0,0.0,2,5,46.44,43.03
51.45,44.64,32.42,38.69,0.0,3,0,41.8,38.69
49.54,44.25,30.82,43.45,0.0,3,1,42.02,43.45
50.4,44.17,28.95,43.31,0.0,3,2,41.71,43.31
50.39,43.96,28.48,43.92,0.0,3,3,41.69,43.92
50.13,44.63,30.4,43.27,0.0,3,4,42.11,43.27
51.24,44.85,28.96,44.46,0.0,3,5,42.38,44.46
48.7,40.96,33.21,31.97,44.28,4,0,39.82,44.28
46.77,42.29,33.03,31.72,52.68,4,1,41.3,52.68
48.57,39.29,33.0,29.23,56.63,4,2,41.34,56.63
48.46,39.04,31.82,30.42,57.16,4,3,41.38,57.16
48.31,37.92,32.68,30.75,58.66,4,4,41.66,58.66
48.61,37.89,33.61,29.83,58.82,4,5,41.75,58.82
