task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,64.12,0.0,0.0,0.0,0.0,64.12,64.12
0,1,68.57,0.0,0.0,0.0,0.0,68.57,68.57
0,2,72.94,0.0,0.0,0.0,0.0,72.94,72.94
0,3,75.43,0.0,0.0,0.0,0.0,75.43,75.43
0,4,79.46,0.0,0.0,0.0,0.0,79.46,79.46
0,5,80.96,0.0,0.0,0.0,0.0,80.96,80.96
1,0,45.62,63.89,0.0,0.0,0.0,54.76,63.89
1,1,41.55,72.14,0.0,0.0,0.0,56.84,72.14
1,2,41.58,77.11,0.0,0.0,0.0,59.34,77.11
1,3,39.82,79.38,0.0,0.0,0.0,59.6,79.38
1,4,41.57,81.26,0.0,0.0,0.0,61.42,81.26
1,5,40.77,90.8,0.0,0.0,0.0,65.78,90.8
2,0,33.15,65.5,57.25,0.0,0.0,51.97,57.25
2,1,30.13,47.06,76.09,0.0,0.0,51.09,76.09
2,2,30.98,41.89,80.0,0.0,0.0,50.96,80.0
2,3,30.73,41.98,83.49,0.0,0.0,52.07,83.49
2,4,30.0,40.83,85.2,0.0,0.0,52.01,85.2
2,5,30.09,40.96,87.43,0.0,0.0,52.83,87.43
3,0,30.45,41.73,53.09,56.89,0.0,45.54,56.89
3,1,28.79,35.31,41.54,70.54,0.0,44.04,70.54
3,2,28.79,37.76,42.39,75.47,0.0,46.1,75.47
3,3,29.03,37.34,38.84,78.7,0.0,45.98,78.7
3,4,29.87,37.78,38.59,81.31,0.0,46.89,81.31
3,5,28.7,37.37,34.92,84.47,0.0,46.36,84.47
4,0,29.11,33.87,38.86,55.19,53.11,42.03,53.11
4,1,29.96,32.85,37.56,45.2,71.09,43.33,71.09
4,2,29.58,32.89,40.36,42.42,79.1,44.87,79.1
4,3,28.54,32.0,37.07,39.98,84.77,44.47,84.77
4,4,28.61,30.03,36.92,35.97,87.76,43.86,87.76
4,5,28.1,29.96,36.05,37.13,89.21,44.09,89.21
