task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,72.03,0.0,0.0,0.0,0.0,72.03,72.03
0,1,76.06,0.0,0.0,0.0,0.0,76.06,76.06
0,2,81.08,0.0,0.0,0.0,0.0,81.08,81.08
0,3,82.84,0.0,0.0,0.0,0.0,82.84,82.84
0,4,86.38,0.0,0.0,0.0,0.0,86.38,86.38
0,5,86.62,0.0,0.0,0.0,0.0,86.62,86.62
1,0,54.5,54.17,0.0,0.0,0.0,54.34,54.17
1,1,59.45,54.79,0.0,0.0,0.0,57.12,54.79
1,2,63.03,54.48,0.0,0.0,0.0,58.76,54.48
1,3,66.39,53.27,0.0,0.0,0.0,59.83,53.27
1,4,66.16,63.68,0.0,0.0,0.0,64.92,63.68
1,5,66.24,70.67,0.0,0.0,0.0,68.46,70.67
2,0,48.26,34.71,61.38,0.0,0.0,48.12,61.38
2,1,49.75,32.86,64.25,0.0,0.0,48.95,64.25
2,2,55.22,37.47,64.68,0.0,0.0,52.46,64.68
2,3,56.5,41.48,66.37,0.0,0.0,54.78,66.37
2,4,55.57,44.49,69.74,0.0,0.0,56.6,69.74
2,5,54.61,45.29,72.71,0.0,0.0,57.54,72.71
3,0,50.3,37.94,30.91,56.91,0.0,44.02,56.91
3,1,55.13,39.92,29.67,62.48,0.0,46.8,62.48
3,2,55.81,40.35,31.7,64.45,0.0,48.08,64.45
3,3,55.87,41.7,32.66,64.14,0.0,48.59,64.14
3,4,52.04,45.82,44.59,70.57,0.0,53.26,70.57
3,5,54.52,45.92,42.85,73.18,0.0,54.12,73.18
4,0,46.08,34.99,34.37,36.69,62.43,42.91,62.43
4,1,50.89,40.15,40.05,38.47,69.2,47.75,69.2
4,2,50.68,42.64,43.76,40.2,71.99,49.85,71.99
4,3,52.56,44.26,45.34,42.19,73.74,51.62,73.74
4,4,52.78,43.95,46.15,42.64,75.93,52.29,75.93
4,5,52.16,44.18,46.43,43.2,78.6,52.91,78.6
