task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,70.97,0.0,0.0,0.0,0.0,70.97,70.97
0,1,75.94,0.0,0.0,0.0,0.0,75.94,75.94
0,2,77.52,0.0,0.0,0.0,0.0,77.52,77.52
0,3,78.4,0.0,0.0,0.0,0.0,78.4,78.4
0,4,82.6,0.0,0.0,0.0,0.0,82.6,82.6
0,5,87.01,0.0,0.0,0.0,0.0,87.01,87.01
1,0,57.1,54.52,0.0,0.0,0.0,55.81,54.52
1,1,61.68,53.94,0.0,0.0,0.0,57.81,53.94
1,2,62.55,60.12,0.0,0.0,0.0,61.33,60.12
1,3,66.44,61.02,0.0,0.0,0.0,63.73,61.02
1,4,62.98,81.76,0.0,0.0,0.0,72.37,81.76
1,5,63.22,84.14,0.0,0.0,0.0,73.68,84.14
2,0,47.26,39.8,62.69,0.0,0.0,49.92,62.69
2,1,54.05,42.96,70.79,0.0,0.0,55.93,70.79
2,2,53.86,45.15,75.86,0.0,0.0,58.29,75.86
2,3,52.15,48.44,79.16,0.0,0.0,59.92,79.16
2,4,52.84,53.47,81.37,0.0,0.0,62.56,81.37
2,5,52.27,52.11,83.66,0.0,0.0,62.68,83.66
3,0,46.72,43.86,34.33,62.29,0.0,46.8,62.29
3,1,51.87,43.71,34.32,68.92,0.0,49.7,68.92
3,2,53.93,43.62,35.17,72.4,0.0,51.28,72.4
3,3,53.95,47.01,37.13,75.48,0.0,53.39,75.48
3,4,53.97,47.06,39.21,76.59,0.0,54.21,76.59
3,5,52.14,47.83,42.34,77.26,0.0,54.89,77.26
4,0,48.67,42.91,39.66,33.99,65.68,46.18,65.68
4,1,49.97,43.66,42.13,36.5,73.59,49.17,73.59
4,2,50.92,42.39,40.56,37.86,78.88,50.12,78.88
4,3,50.98,42.99,44.31,40.58,80.96,51.96,80.96
4,4,52.26,44.45,44.07,39.49,82.0,52.45,82.0
4,5,52.28,44.35,43.9,39.78,83.14,52.69,83.14
