task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
77.02,0.0,0.0,0,0,77.02,77.02
85.31,0.0,0.0,0,1,85.31,85.31
94.77,0.0,0.0,0,2,94.77,94.77
83.11,77.57,0.0,1,0,80.34,77.57
72.79,88.42,0.0,1,1,80.6,88.42
66.33,91.38,0.0,1,2,78.85,91.38
34.18,53.33,87.11,2,0,58.21,87.11
28.99,46.94,91.51,2,1,55.81,91.51
33.12,46.73,92.54,2,2,57.46,92.54
