task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,93.93,0.0,0.0,93.93,93.93
0,2,96.48,0.0,0.0,96.48,96.48
1,0,83.88,81.65,0.0,82.76,81.65
1,1,80.59,92.6,0.0,86.6,92.6
1,2,73.56,97.44,0.0,85.5,97.44
2,0,57.25,84.06,84.78,75.36,84.78
2,1,54.81,74.72,91.3,73.61,91.3
2,2,55.56,78.43,91.8,75.26,91.8
