task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,93.93,0.0,0.0,93.93,93.93
0,2,94.35,0.0,0.0,94.35,94.35
1,0,77.36,81.07,0.0,79.22,81.07
1,1,66.83,90.24,0.0,78.54,90.24
1,2,61.61,92.2,0.0,76.9,92.2
2,0,36.34,67.79,87.47,63.87,87.47
2,1,37.58,72.23,92.24,67.35,92.24
2,2,22.85,61.68,92.52,59.02,92.52
