task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
80.65,0.0,0.0,0,0,80.65,80.65
84.07,0.0,0.0,0,1,84.07,84.07
87.51,0.0,0.0,0,2,87.51,87.51
89.53,0.0,0.0,0,3,89.53,89.53
85.76,76.32,0.0,1,0,81.04,76.32
67.42,90.71,0.0,1,1,79.06,90.71
73.02,93.17,0.0,1,2,83.1,93.17
73.43,94.26,0.0,1,3,83.84,94.26
38.8,72.23,92.35,2,0,67.79,92.35
39.2,62.74,94.0,2,1,65.31,94.0
42.82,62.61,94.21,2,2,66.55,94.21
42.39,63.12,94.73,2,3,66.75,94.73
