task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,90.83,0.0,0.0,90.83,90.83
0,2,96.24,0.0,0.0,96.24,96.24
1,0,76.72,85.1,0.0,80.91,85.1
1,1,71.33,90.23,0.0,80.78,90.23
1,2,71.56,95.19,0.0,83.38,95.19
2,0,48.46,85.44,82.91,72.27,82.91
2,1,41.13,76.24,89.18,68.85,89.18
2,2,42.9,77.16,92.02,70.69,92.02
