task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,93.93,0.0,0.0,93.93,93.93
0,2,96.48,0.0,0.0,96.48,96.48
1,0,82.41,79.64,0.0,81.03,79.64
1,1,71.03,88.13,0.0,79.58,88.13
1,2,72.96,93.83,0.0,83.4,93.83
2,0,53.48,54.39,87.25,65.04,87.25
2,1,57.97,50.27,88.83,65.69,88.83
2,2,50.93,45.34,91.28,62.52,91.28
