task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,85.31,0.0,0.0,85.31,85.31
0,2,94.77,0.0,0.0,94.77,94.77
1,0,85.63,83.52,0.0,84.57,83.52
1,1,66.66,90.91,0.0,78.78,90.91
1,2,61.11,93.55,0.0,77.33,93.55
2,0,40.72,74.47,86.4,67.2,86.4
2,1,45.12,77.94,86.01,69.69,86.01
2,2,49.26,80.34,87.94,72.51,87.94
