task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
50.19,0.0,0.0,0,0,50.19,50.19
71.16,0.0,0.0,0,1,71.16,71.16
73.97,0.0,0.0,0,2,73.97,73.97
90.45,89.05,0.0,1,0,89.75,89.05
95.88,96.56,0.0,1,1,96.22,96.56
97.0,97.21,0.0,1,2,97.1,97.21
89.7,91.88,94.93,2,0,92.17,94.93
95.88,95.5,94.8,2,1,95.39,94.8
92.14,92.78,96.06,2,2,93.66,96.06
