task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,73.66,0.0,0.0,73.66,73.66
0,1,86.52,0.0,0.0,86.52,86.52
0,2,95.71,0.0,0.0,95.71,95.71
1,0,85.97,82.63,0.0,84.3,82.63
1,1,67.29,90.69,0.0,78.99,90.69
1,2,74.35,95.13,0.0,84.74,95.13
2,0,32.22,70.0,89.15,63.79,89.15
2,1,45.4,43.88,93.23,60.84,93.23
2,2,39.62,44.84,95.0,59.82,95.0
