task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,73.66,0.0,0.0,73.66,73.66
0,1,86.16,0.0,0.0,86.16,86.16
0,2,95.11,0.0,0.0,95.11,95.11
1,0,85.71,86.72,0.0,86.22,86.72
1,1,65.22,92.8,0.0,79.01,92.8
1,2,71.57,95.58,0.0,83.57,95.58
2,0,30.21,64.8,89.63,61.55,89.63
2,1,32.21,53.01,93.85,59.69,93.85
2,2,41.2,55.9,93.68,63.59,93.68
