task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
78.91,0.0,0.0,0,1,78.91,78.91
79.68,0.0,0.0,0,2,79.68,79.68
82.11,0.0,0.0,0,3,82.11,82.11
81.89,87.85,0.0,1,0,84.87,87.85
79.39,95.26,0.0,1,1,87.32,95.26
75.67,95.9,0.0,1,2,85.78,95.9
76.13,96.99,0.0,1,3,86.56,96.99
50.63,78.39,87.43,2,0,72.15,87.43
48.49,74.18,93.0,2,1,71.89,93.0
49.3,75.39,92.96,2,2,72.55,92.96
55.77,72.48,94.12,2,3,74.12,94.12
