task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
78.91,0.0,0.0,0,1,78.91,78.91
79.68,0.0,0.0,0,2,79.68,79.68
82.11,0.0,0.0,0,3,82.11,82.11
82.88,88.22,0.0,1,0,85.55,88.22
79.43,95.31,0.0,1,1,87.37,95.31
81.31,95.5,0.0,1,2,88.4,95.5
74.06,96.93,0.0,1,3,85.5,96.93
50.1,83.36,87.49,2,0,73.65,87.49
47.34,72.38,92.27,2,1,70.66,92.27
43.78,76.43,93.16,2,2,71.12,93.16
39.28,74.19,95.11,2,3,69.53,95.11
