task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.774,0.0,0.0,0,0,24.258,72.774,0.0
83.22999999999999,0.0,0.0,0,1,27.74333333333333,83.22999999999999,-10.455999999999989
82.022,0.0,0.0,0,2,27.340666666666667,82.022,1.2079999999999842
83.71,0.0,0.0,0,3,27.903333333333332,83.71,-0.480000000000004
85.28200000000001,0.0,0.0,0,4,28.427333333333337,85.28200000000001,-1.572000000000017
73.75,81.67999999999999,0.0,1,0,51.81,77.715,11.53200000000001
61.465999999999994,91.15,0.0,1,1,50.87199999999999,76.30799999999999,7.173000000000002
59.67,94.50399999999999,0.0,1,2,51.39133333333333,77.08699999999999,11.129000000000012
59.416,96.086,0.0,1,3,51.834,77.751,12.142000000000003
63.42999999999999,96.922,0.0,1,4,53.450666666666656,80.17599999999999,10.50800000000001
42.504,87.978,80.078,2,0,70.18666666666667,70.18666666666667,25.861000000000008
36.642,78.812,89.90599999999999,2,1,68.45333333333333,68.45333333333333,18.974000000000004
42.492000000000004,79.066,89.826,2,2,70.46133333333334,70.46133333333334,20.242
41.577999999999996,79.02799999999999,90.75800000000001,2,3,70.45466666666667,70.45466666666667,20.24866666666667
43.438,78.962,91.16,2,4,71.18666666666667,71.18666666666667,19.80066666666667
