task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,73.66,0.0,0.0,73.66,73.66
0,1,86.16,0.0,0.0,86.16,86.16
0,2,95.11,0.0,0.0,95.11,95.11
1,0,85.73,86.34,0.0,86.04,86.34
1,1,70.21,92.17,0.0,81.19,92.17
1,2,63.73,95.84,0.0,79.78,95.84
2,0,60.61,75.3,88.89,74.93,88.89
2,1,57.3,73.5,92.2,74.33,92.2
2,2,56.78,69.39,92.77,72.98,92.77
