task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
96.376,0.0,0.0,0,0,32.12533333333334,96.376,0.0
97.44800000000001,0.0,0.0,0,1,32.48266666666667,97.44800000000001,-1.0720000000000027
98.654,0.0,0.0,0,2,32.88466666666667,98.654,-1.2059999999999889
98.962,0.0,0.0,0,3,32.98733333333333,98.962,-0.30800000000000693
99.024,0.0,0.0,0,4,33.008,99.024,-0.06199999999999761
92.0,94.736,0.0,1,0,62.24533333333333,93.368,7.024000000000001
98.408,97.57,0.0,1,1,65.32600000000001,97.989,-1.1089999999999947
98.59200000000001,98.452,0.0,1,2,65.68133333333334,98.522,-0.22500000000000853
98.588,98.492,0.0,1,3,65.69333333333333,98.53999999999999,0.1980000000000004
98.76,98.55,0.0,1,4,65.77,98.655,0.10300000000000153
76.50399999999999,87.568,88.96600000000001,2,0,84.346,84.346,16.751000000000005
78.396,90.298,92.474,2,1,87.056,87.056,8.457333333333333
77.47,89.126,92.55,2,2,86.382,86.382,10.300666666666666
74.978,88.272,93.208,2,3,85.48599999999999,85.48599999999999,11.222
78.256,88.102,92.918,2,4,86.42533333333334,86.42533333333334,10.501999999999995
