task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
50.19,0.0,0.0,0,0,50.19,50.19
71.16,0.0,0.0,0,1,71.16,71.16
73.97,0.0,0.0,0,2,73.97,73.97
93.63,86.61,0.0,1,0,90.12,86.61
95.88,93.65,0.0,1,1,94.76,93.65
96.82,95.58,0.0,1,2,96.2,95.58
94.75,94.89,92.79,2,0,94.14,92.79
85.96,87.99,94.21,2,1,89.39,94.21
84.08,85.78,94.02,2,2,87.96,94.02
