task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
77.02,0.0,0.0,0,0,77.02,77.02
85.31,0.0,0.0,0,1,85.31,85.31
94.77,0.0,0.0,0,2,94.77,94.77
83.11,77.57,0.0,1,0,80.34,77.57
72.43,87.67,0.0,1,1,80.05,87.67
54.56,92.95,0.0,1,2,73.76,92.95
34.09,60.82,87.92,2,0,60.94,87.92
34.65,60.44,91.45,2,1,62.18,91.45
39.44,57.38,90.88,2,2,62.57,90.88
