task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
87.86,0.0,0.0,0,1,87.86,87.86
90.74,0.0,0.0,0,2,90.74,90.74
94.54,0.0,0.0,0,3,94.54,94.54
76.73,89.78,0.0,1,0,83.26,89.78
82.43,92.11,0.0,1,1,87.27,92.11
82.56,92.32,0.0,1,2,87.44,92.32
84.84,92.15,0.0,1,3,88.5,92.15
51.34,67.55,86.99,2,0,68.63,86.99
48.87,73.02,92.88,2,1,71.59,92.88
49.23,75.05,92.86,2,2,72.38,92.86
52.71,75.5,93.5,2,3,73.9,93.5
