task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,74.81,0.0,0.0,74.81,74.81
0,1,91.53,0.0,0.0,91.53,91.53
0,2,94.61,0.0,0.0,94.61,94.61
1,0,65.99,91.32,0.0,78.66,91.32
1,1,56.31,95.34,0.0,75.82,95.34
1,2,44.8,96.85,0.0,70.82,96.85
2,0,34.1,75.05,85.39,64.85,85.39
2,1,35.25,64.9,90.2,63.45,90.2
2,2,31.46,64.69,93.43,63.19,93.43
