task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
70.11,0.0,0.0,0,1,70.11,70.11
71.03,0.0,0.0,0,2,71.03,71.03
73.99,0.0,0.0,0,3,73.99,73.99
81.11,87.03,0.0,1,0,84.07,87.03
77.52,93.67,0.0,1,1,85.6,93.67
74.12,95.84,0.0,1,2,84.98,95.84
71.23,95.26,0.0,1,3,83.24,95.26
45.56,83.28,85.64,2,0,71.49,85.64
56.85,78.31,89.67,2,1,74.94,89.67
56.9,80.79,90.73,2,2,76.14,90.73
54.57,78.7,92.6,2,3,75.29,92.6
