task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
78.93,0.0,0.0,0,1,78.93,78.93
79.78,0.0,0.0,0,2,79.78,79.78
80.76,0.0,0.0,0,3,80.76,80.76
83.07,86.62,0.0,1,0,84.84,86.62
73.01,96.66,0.0,1,1,84.84,96.66
74.13,98.15,0.0,1,2,86.14,98.15
74.33,99.16,0.0,1,3,86.74,99.16
44.31,85.35,88.1,2,0,72.59,88.1
44.97,82.32,91.65,2,1,72.98,91.65
48.31,82.41,93.79,2,2,74.84,93.79
51.78,80.86,94.13,2,3,75.59,94.13
