task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,77.02,0.0,0.0,77.02,77.02
0,1,82.98,0.0,0.0,82.98,82.98
0,2,95.0,0.0,0.0,95.0,95.0
1,0,76.73,79.7,0.0,78.22,79.7
1,1,68.46,85.64,0.0,77.05,85.64
1,2,66.88,91.71,0.0,79.29,91.71
2,0,40.24,78.85,86.13,68.41,86.13
2,1,45.24,78.33,86.02,69.86,86.02
2,2,37.99,76.38,89.13,67.83,89.13
