task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
80.65,0.0,0.0,0,0,80.65,80.65
83.93,0.0,0.0,0,1,83.93,83.93
91.29,0.0,0.0,0,2,91.29,91.29
92.25,0.0,0.0,0,3,92.25,92.25
81.85,78.5,0.0,1,0,80.18,78.5
73.13,86.54,0.0,1,1,79.84,86.54
73.4,91.0,0.0,1,2,82.2,91.0
75.63,94.63,0.0,1,3,85.13,94.63
45.04,76.34,90.7,2,0,70.69,90.7
47.63,65.92,94.48,2,1,69.34,94.48
49.45,68.98,94.31,2,2,70.91,94.31
48.85,67.23,94.41,2,3,70.16,94.41
