task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
82.478,0.0,0.0,0,0,27.492666666666665,82.478,0.0
82.152,0.0,0.0,0,1,27.384,82.152,0.3259999999999934
83.72200000000001,0.0,0.0,0,2,27.907333333333337,83.72200000000001,-1.244000000000014
92.898,0.0,0.0,0,3,30.965999999999998,92.898,-9.175999999999988
94.606,0.0,0.0,0,4,31.53533333333333,94.606,-1.7079999999999984
85.15,79.59,0.0,1,0,54.913333333333334,82.37,9.455999999999989
85.124,88.126,0.0,1,1,57.75,86.625,0.472999999999999
87.74,91.942,0.0,1,2,59.894,89.841,1.5250000000000057
89.352,92.402,0.0,1,3,60.58466666666667,90.87700000000001,2.3969999999999914
89.852,92.30199999999999,0.0,1,4,60.717999999999996,91.077,2.4269999999999996
75.898,83.938,82.132,2,0,80.656,80.656,13.585999999999999
66.438,81.864,87.994,2,1,78.76533333333334,78.76533333333334,10.947999999999999
67.53200000000001,82.686,87.83,2,2,79.34933333333333,79.34933333333333,12.317999999999993
67.06199999999998,83.202,88.678,2,3,79.64733333333332,79.64733333333332,12.020000000000005
65.00399999999999,82.59400000000001,88.30799999999999,2,4,78.63533333333334,78.63533333333334,13.26
