task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
96.076,0.0,0.0,0,0,32.02533333333333,96.076,0.0
96.88,0.0,0.0,0,1,32.29333333333333,96.88,-0.804000000000002
98.188,0.0,0.0,0,2,32.72933333333334,98.188,-1.308000000000007
99.31800000000001,0.0,0.0,0,3,33.106,99.31800000000001,-1.1300000000000097
98.564,0.0,0.0,0,4,32.85466666666667,98.564,0.7540000000000191
95.67999999999999,94.006,0.0,1,0,63.22866666666666,94.84299999999999,3.6380000000000194
97.47999999999999,97.434,0.0,1,1,64.97133333333333,97.457,-0.7949999999999875
98.08399999999999,98.404,0.0,1,2,65.496,98.244,0.1320000000000121
97.80199999999999,98.224,0.0,1,3,65.342,98.013,0.8480000000000061
98.084,98.288,0.0,1,4,65.45733333333334,98.186,0.6750000000000043
81.404,89.78,90.86,2,0,87.348,87.348,13.269000000000005
78.39399999999999,90.062,91.77000000000001,2,1,86.742,86.742,9.452000000000004
80.806,91.888,92.474,2,2,88.38933333333334,88.38933333333334,8.108000000000004
81.616,89.584,92.064,2,3,87.75466666666667,87.75466666666667,8.97733333333334
82.174,90.31,91.954,2,4,88.146,88.146,8.586000000000004
