task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,93.93,0.0,0.0,93.93,93.93
0,2,94.35,0.0,0.0,94.35,94.35
1,0,80.97,83.13,0.0,82.05,83.13
1,1,66.42,92.72,0.0,79.57,92.72
1,2,65.23,94.25,0.0,79.74,94.25
2,0,47.12,77.03,87.82,70.66,87.82
2,1,46.62,73.2,91.78,70.53,91.78
2,2,36.23,64.32,94.07,64.87,94.07
