task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,81.12,0.0,0.0,81.12,81.12
0,1,90.83,0.0,0.0,90.83,90.83
0,2,96.24,0.0,0.0,96.24,96.24
1,0,80.55,83.05,0.0,81.8,83.05
1,1,64.53,92.48,0.0,78.5,92.48
1,2,64.48,94.51,0.0,79.5,94.51
2,0,24.67,60.99,87.74,57.8,87.74
2,1,30.74,54.55,90.49,58.59,90.49
2,2,45.23,67.74,94.35,69.11,94.35
