task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
77.02,0.0,0.0,0,0,77.02,77.02
82.98,0.0,0.0,0,1,82.98,82.98
95.0,0.0,0.0,0,2,95.0,95.0
78.15,79.53,0.0,1,0,78.84,79.53
78.05,87.62,0.0,1,1,82.84,87.62
74.09,94.55,0.0,1,2,84.32,94.55
42.47,62.47,87.89,2,0,64.28,87.89
42.28,53.17,90.22,2,1,61.89,90.22
41.27,55.79,91.96,2,2,63.01,91.96
