task,cycle,task_1,task_2,task_3,average_accuracy,learning_accuracy
0,0,73.66,0.0,0.0,73.66,73.66
0,1,86.52,0.0,0.0,86.52,86.52
0,2,95.71,0.0,0.0,95.71,95.71
1,0,82.21,82.59,0.0,82.4,82.59
1,1,67.61,93.09,0.0,80.35,93.09
1,2,71.49,95.56,0.0,83.52,95.56
2,0,55.95,73.45,86.24,71.88,86.24
2,1,55.48,61.23,92.8,69.84,92.8
2,2,51.03,69.85,93.29,71.39,93.29
