task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
97.338,0.0,0.0,0,0,32.446,97.338,0.0
97.106,0.0,0.0,0,1,32.36866666666666,97.106,0.23199999999999932
96.728,0.0,0.0,0,2,32.242666666666665,96.728,0.6099999999999994
97.308,0.0,0.0,0,3,32.436,97.308,0.029999999999986926
97.826,0.0,0.0,0,4,32.608666666666664,97.826,-0.48799999999999955
86.638,96.416,0.0,1,0,61.018,91.527,11.187999999999988
89.49199999999999,96.398,0.0,1,1,61.96333333333333,92.945,4.176000000000002
90.212,96.636,0.0,1,2,62.28266666666667,93.424,3.6969999999999956
90.162,97.31,0.0,1,3,62.49066666666667,93.736,3.4949999999999903
90.41,97.29400000000001,0.0,1,4,62.568000000000005,93.852,3.715999999999994
79.37,85.182,90.19,2,0,84.914,84.914,15.291999999999994
73.19,87.092,92.03,2,1,84.104,84.104,11.004666666666665
74.47999999999999,87.026,92.136,2,2,84.54733333333333,84.54733333333333,11.174666666666672
78.59200000000001,86.926,92.658,2,3,86.05866666666668,86.05866666666668,9.698666666666659
79.38,87.03399999999999,92.61800000000001,2,4,86.344,86.344,9.587333333333333
