task_1,task_2,task_3,task,cycle,average_accuracy,learning_accuracy
69.77,0.0,0.0,0,0,69.77,69.77
70.11,0.0,0.0,0,1,70.11,70.11
71.03,0.0,0.0,0,2,71.03,71.03
73.99,0.0,0.0,0,3,73.99,73.99
81.88,87.99,0.0,1,0,84.94,87.99
78.21,93.11,0.0,1,1,85.66,93.11
73.32,95.3,0.0,1,2,84.31,95.3
66.51,96.48,0.0,1,3,81.5,96.48
42.95,83.43,89.89,2,0,72.09,89.89
39.07,77.48,91.25,2,1,69.27,91.25
47.23,71.91,92.34,2,2,70.49,92.34
45.44,72.64,93.35,2,3,70.48,93.35
