run,task,cycle,task_1,task_2,task_3,task_4
3,2,4,68.62,93.27,91.21,0.0
3,2,5,62.87,96.58,93.01,0.0
3,2,6,69.3,96.25,93.46,0.0
3,2,7,72.01,95.92,94.02,0.0
3,2,8,71.78,96.36,94.02,0.0
3,2,9,71.78,96.36,94.14,0.0
3,3,0,73.25,77.84,58.74,73.61
3,3,1,64.22,80.04,61.78,90.13
3,3,2,63.32,80.82,65.39,95.23
3,3,3,62.08,82.69,64.04,96.56
3,3,4,64.33,82.25,62.68,97.34
3,3,5,73.02,79.71,62.57,96.78
3,3,6,69.64,84.45,66.18,96.01
3,3,7,70.2,89.08,70.8,96.45
3,3,8,63.66,92.61,71.03,95.68
3,3,9,65.35,92.94,71.48,96.34
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,0,5,88.86,0.0,0.0,0.0
4,0,6,93.25,0.0,0.0,0.0
4,0,7,97.86,0.0,0.0,0.0
4,0,8,97.98,0.0,0.0,0.0
4,0,9,98.76,0.0,0.0,0.0
4,1,0,84.36,74.84,0.0,0.0
4,1,1,76.94,90.11,0.0,0.0
4,1,2,72.33,97.14,0.0,0.0
4,1,3,69.07,96.59,0.0,0.0
4,1,4,73.0,99.12,0.0,0.0
4,1,5,73.45,99.12,0.0,0.0
4,1,6,73.57,99.12,0.0,0.0
4,1,7,73.68,99.12,0.0,0.0
4,1,8,73.79,99.12,0.0,0.0
4,1,9,74.02,99.12,0.0,0.0
4,2,0,76.38,80.66,66.78,0.0
4,2,1,77.95,79.12,78.18,0.0
4,2,2,78.07,79.23,78.29,0.0
4,2,3,78.4,79.45,78.07,0.0
4,2,4,76.27,68.79,82.06,0.0
4,2,5,67.6,76.92,88.82,0.0
4,2,6,73.57,75.38,93.02,0.0
4,2,7,68.95,65.27,87.93,0.0
4,2,8,69.07,66.48,87.38,0.0
4,2,9,69.18,66.7,87.38,0.0
4,3,0,62.2,73.96,59.03,85.45
4,3,1,69.85,73.08,68.11,90.91
4,3,2,72.78,62.2,49.28,95.0
4,3,3,73.9,63.41,48.95,96.25
4,3,4,70.75,61.21,55.59,98.52
4,3,5,70.53,60.99,55.81,98.52
4,3,6,71.43,65.05,53.71,98.75
4,3,7,71.88,65.16,54.49,98.75
4,3,8,72.1,66.15,54.71,98.75
4,3,9,72.44,66.81,54.82,98.75
