run,task,cycle,task_1,task_2,task_3,task_4
3,0,6,83.52,0.0,0.0,0.0
3,0,7,87.36,0.0,0.0,0.0
3,0,8,87.58,0.0,0.0,0.0
3,0,9,87.58,0.0,0.0,0.0
3,1,0,59.37,99.12,0.0,0.0
3,1,1,54.18,99.78,0.0,0.0
3,1,2,55.87,99.67,0.0,0.0
3,1,3,58.13,99.67,0.0,0.0
3,1,4,64.22,99.67,0.0,0.0
3,1,5,65.8,99.56,0.0,0.0
3,1,6,67.04,99.56,0.0,0.0
3,1,7,67.72,99.56,0.0,0.0
3,1,8,70.99,99.56,0.0,0.0
3,1,9,76.64,99.34,0.0,0.0
3,2,0,57.67,90.41,79.59,0.0
3,2,1,48.65,88.75,83.31,0.0
3,2,2,50.11,90.74,82.98,0.0
3,2,3,50.68,91.84,82.53,0.0
3,2,4,51.47,92.17,82.3,0.0
3,2,5,52.48,93.27,82.19,0.0
3,2,6,52.6,95.15,81.96,0.0
3,2,7,53.05,96.14,81.74,0.0
3,2,8,54.85,92.5,86.36,0.0
3,2,9,62.3,96.03,88.5,0.0
3,3,0,54.97,91.51,67.42,74.06
3,3,1,64.11,96.03,68.43,91.24
3,3,2,61.06,95.48,70.46,90.91
3,3,3,64.0,94.82,66.74,93.79
3,3,4,65.58,97.46,69.11,94.57
3,3,5,65.69,97.46,68.77,94.57
3,3,6,62.75,97.91,70.91,95.12
3,3,7,62.87,97.91,71.03,95.23
3,3,8,60.05,97.13,70.35,95.12
3,3,9,59.93,97.13,69.11,95.12
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,0,5,92.35,0.0,0.0,0.0
4,0,6,94.71,0.0,0.0,0.0
4,0,7,96.29,0.0,0.0,0.0
4,0,8,96.4,0.0,0.0,0.0
4,0,9,98.31,0.0,0.0,0.0
4,1,0,90.21,66.37,0.0,0.0
4,1,1,75.37,80.0,0.0,0.0
4,1,2,80.99,86.15,0.0,0.0
